,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Price
0,0,892,0,3,"Kelly, Mr. James",male,34.5,0,0,330911,7.8292,,Q,39
1,1,893,1,3,"Wilkes, Mrs. James (Ellen Needs)",female,47.0,1,0,363272,7.0,,S,75
2,2,894,0,2,"Myles, Mr. Thomas Francis",male,62.0,0,0,240276,9.6875,,Q,73
3,3,895,0,3,"Wirz, Mr. Albert",male,27.0,0,0,315154,8.6625,,S,46
4,6,898,1,3,"Connolly, Miss. Kate",female,30.0,0,0,330972,7.6292,,Q,76
5,7,899,0,2,"Caldwell, Mr. Albert Francis",male,26.0,1,1,248738,29.0,,S,54
6,11,903,0,1,"Jones, Mr. Charles Cresson",male,46.0,0,0,694,26.0,,S,16
7,13,905,0,2,"Howard, Mr. Benjamin",male,63.0,1,0,24065,26.0,,S,32
8,14,906,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1,0,W.E.P. 5734,61.175,E31,S,98
9,16,908,0,2,"Keane, Mr. Daniel",male,35.0,0,0,233734,12.35,,Q,72
10,18,910,1,3,"Ilmakangas, Miss. Ida Livija",female,27.0,1,0,STON/O2. 3101270,7.925,,S,85
11,19,911,1,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",female,45.0,0,0,2696,7.225,,C,11
12,20,912,0,1,"Rothschild, Mr. Martin",male,55.0,1,0,PC 17603,59.4,,C,85
13,24,916,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48.0,1,3,PC 17608,262.375,B57 B59 B63 B66,C,39
14,25,917,0,3,"Robins, Mr. Alexander A",male,50.0,1,0,A/5. 3337,14.5,,S,72
15,28,920,0,1,"Brady, Mr. John Bertram",male,41.0,0,0,113054,30.5,A21,S,7
16,30,922,0,2,"Louch, Mr. Charles Alexander",male,50.0,1,0,SC/AH 3085,26.0,,S,50
17,32,924,1,3,"Dean, Mrs. Bertram (Eva Georgetta Light)",female,33.0,1,2,C.A. 2315,20.575,,S,94
18,34,926,0,1,"Mock, Mr. Philipp Edmund",male,30.0,1,0,13236,57.75,C78,C,48
19,40,932,0,3,"Karun, Mr. Franz",male,39.0,0,1,349256,13.4167,,C,48
20,42,934,0,3,"Goldsmith, Mr. Nathan",male,41.0,0,0,SOTON/O.Q. 3101263,7.85,,S,33
21,43,935,1,2,"Corbett, Mrs. Walter H (Irene Colvin)",female,30.0,0,0,237249,13.0,,S,91
22,44,936,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,1,0,11753,52.5542,D19,S,15
23,46,938,0,1,"Chevre, Mr. Paul Romaine",male,45.0,0,0,PC 17594,29.7,A9,C,41
24,48,940,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0,0,11813,76.2917,D15,C,61
25,49,941,1,3,"Coutts, Mrs. William (Winnie Minnie"" Treanor)""",female,36.0,0,2,C.A. 37671,15.9,,S,20
26,51,943,0,2,"Pulbaum, Mr. Franz",male,27.0,0,0,SC/PARIS 2168,15.0333,,C,53
27,53,945,1,1,"Fortune, Miss. Ethel Flora",female,28.0,3,2,19950,263.0,C23 C25 C27,S,22
28,56,948,0,3,"Cor, Mr. Bartol",male,35.0,0,0,349230,7.8958,,S,89
29,59,951,1,1,"Chaudanson, Miss. Victorine",female,36.0,0,0,PC 17608,262.375,B61,C,92
30,61,953,0,2,"McCrae, Mr. Arthur Gordon",male,32.0,0,0,237216,13.5,,S,53
31,67,959,0,1,"Moore, Mr. Clarence Bloomfield",male,47.0,0,0,113796,42.4,,S,18
32,68,960,0,1,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,0,0,2543,28.5375,C53,C,14
33,69,961,1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,1,4,19950,263.0,C23 C25 C27,S,73
34,72,964,1,3,"Nieminen, Miss. Manta Josefina",female,29.0,0,0,3101297,7.925,,S,50
35,73,965,0,1,"Ovies y Rodriguez, Mr. Servando",male,28.5,0,0,PC 17562,27.7208,D43,C,16
36,74,966,1,1,"Geiger, Miss. Amalie",female,35.0,0,0,113503,211.5,C130,C,1
37,75,967,0,1,"Keeping, Mr. Edwin",male,32.5,0,0,113503,211.5,C132,C,78
38,77,969,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55.0,2,0,11770,25.7,C101,S,27
39,78,970,0,2,"Aldworth, Mr. Charles Augustus",male,30.0,0,0,248744,13.0,,S,29
40,81,973,0,1,"Straus, Mr. Isidor",male,67.0,1,0,PC 17483,221.7792,C55 C57,S,79
41,82,974,0,1,"Case, Mr. Howard Brown",male,49.0,0,0,19924,26.0,,S,57
42,86,978,1,3,"Barry, Miss. Julia",female,27.0,0,0,330844,7.8792,,Q,54
43,92,984,1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,27.0,1,2,F.C. 12750,52.0,B71,S,86
44,96,988,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1,0,19877,78.85,C46,S,21
